Comment Date,Comment,Published To
04/30/2023,waitress was friendly and attentive,None
04/30/2023,"Very nice wait staff. Our food was brought out promptly, looked great, and tasted even better.",None
04/30/2023,Service and food were great!  We were unpleasantly surprised by the additional charge when using a credit card.,None
04/29/2023,Great service and delicious food!,None
04/29/2023,"Kassie was our excellent server and the meal was delicious. We appreciated being able to sit in the large dining room instead of the bar area.  However, I was not pleased at being charged an extra $2 for the tiny bit of extra gravy I asked for on my rice.  I felt this was a cheap shot by Crosstown Grill.",None
04/28/2023,Our server was friendly and all was good.,None
04/27/2023,"Love Thirsty Thursday!
Kirsty is an excellent bartender!!",None
04/27/2023,Food was Awesome!!!,None
04/27/2023,"When my husband and I come in just us, we sit at bar and usually enjoy our drinks and light meal. Last night we were there with family.  It was not my decision to come as family because I just think it’s not a family/kid-friendly place.  For example, last night and all recent visits, the server did not offer to bring the free ice cream to the two kids.  Since we know about it, we always have to ask for it.  Just kin$ of annoying. Also, not price friendly for families.",None
04/27/2023,"The food was really good but when you get the fish and chips with the bottomless  coleslaw it comes in a tiny little cup. They should just bring you a bowl of coleslaw.
The small cup is only  enough for one bite if it’s bottomless why don’t they just bring a bowl of coleslaw?",None
04/25/2023,"I sat at the bar.  The bartender, Jennifer, took very good care of me and the drinks were delicious.",None
04/25/2023,Excellent,None
04/24/2023,A delicious meal & the best Margarita! Thanks to Sydney for her outstanding service.,None
04/24/2023,The food was good except for the mushrooms. They were not good.,None
04/24/2023,I sat at the bar and my waitress on that day remembered me I forgot her name but she gave me really good service thanks again enjoyed my visit,None
04/23/2023,wi-go needs tone fixed and the rewards app/website needs to be able to add a transaction that can uploaded,None
04/23/2023,"Great dinner! Service, food quality, atmosphere all contribute to a well run eatery.",None
04/22/2023,Great food and service.,None
04/22/2023,Husband must be gluten free (allergy) and he always enjoys his food with no consequences!,None
04/22/2023,"Prompt service, seating and comfortable dining",None
04/21/2023,I really love the atmosphere at McGuires but I prefer the food quality as well as the food variety at Crosstown better.  I would really like to see the menu changed up at McGuires a bit.  I go there for cocktails but rarely eat there.,None
04/20/2023,Friendly service & delicious food! Always a treat!,None
04/20/2023,"It is our favorite place.  We dine there very often for the last, at least 4 years.  We love the Happy Hour, and do all of our celebrations there.  We love it!!",None
04/19/2023,Amanda was our server and did a phenomenal job. She remembers our orders and is very attentive.,None
04/19/2023,The server was very nice and attentive.,None
04/19/2023,Pleasant atmosphere and service,None
04/19/2023,Need more staff help. Once our order was placed it took a while before we received our meal,None
04/17/2023,Steak and Guinness pie was good but didn’t meet my expectations. For your credit though I have not had a bad meal at maguires before,None
04/17/2023,Very short staffed,None
04/16/2023,"We love  this restaurant! The food, the service, and the atmosphere are fabulous. It’s a great place to unwind.

Expand the Happy Hour Selections, the wine selection is adequate (I would love a sparkling option added) but adding some more variety to to the HH beer and well drinks would be an improvement.",None
04/16/2023,Staff are always great!!,None
04/13/2023,"Service was wonderful. We sat at the bar and the girl was very nice and knowledgeable. The food was good, especially for bar food.",None
04/11/2023,Crosstown grill has become our new go to restaurant.  The food and service are always great and the cleanliness is very noticeable.  The manager is always welcoming and makes a customers business feel appreciated.,None
04/11/2023,I really like the kids eat free on Tuesdays. Wish the pretzel sticks would come back.,None
04/10/2023,Always a pleasure to eat at Crosstown Grill. Good food and good service,None
04/09/2023,"Kelly was An Excellent Server and very knowledgeable!

Great experience",None
04/09/2023,Servers are friendly and helpful.,None
04/09/2023,"Great food with excellent staff of servers. 
I would like to see  better variety of bar snack food. The bar food never changes. Bring back sliders, add a soup, change it up some.
The wings are priced too high. Add a happy hour price like maybe 4 for $4.",None
04/08/2023,Great bartender,None
04/08/2023,"We were sat in the bar area and ordered our food pretty quickly. It took a while for the food to be cooked, which was fine, it was trivia night (which we weren’t aware of before getting there). I ordered cottage pie and when it came out I noticed it was very soupy and didn’t have the ritz crackers on top. As I started to eat it I realized the liquid was just I undrained grease from the meat. It took a while for someone to check on us and my husband and son were already done eating. And my husband and I both needed refills. The server who came and checked on us asked if I would like my food remade. I asked how long it would take and she said about 5 minutes so I told her that would be ok. She came back and said that the ritz crackers were left off because they were out of them. It took well over 5 mins to get my food and I immediately asked for a to-go box which took even longer to get. Paying took another long length of time. Very disappointing experience.",None
04/08/2023,The service and food was phenomenal!!,None
04/08/2023,Great atmosphere and efficient friendly staff.,None
04/07/2023,We are regular customers over the year and last night was our worst experience to date. 2 servers took our drink order and it took awhile to get water. Then our drinks from the bar finally came right as our meals arrived well after we had finished our appetizer. The food was good but then our server disappeared for an extended period of time and finally came back to check us out. But there was a ticket issue and other people’s food was on our tab and that had to be removed. Overall we spent 3x the time waiting for food and drinks or to leave then we did eating and socializing. We will continue to venture here unless this becomes the norm.,None
04/05/2023,Everything is good. Just wish you still had the boiled shrimp appetizer!!!,None
04/05/2023,Charles was a great bartender. Burger was missing tomato and pickles. He was very busy so we did not mention it till the end.,None
04/03/2023,Everthin. From the service to the food. Everything was perfect.,None
04/02/2023,"The food and atmosphere were great! I had never had the Irish Grilled Cheese before, and it was fabulous! Also, Savannah (our server) was friendly, professional, and knowledgeable about the food items. She made our visit even more enjoyable!",None
04/01/2023,Always a Super Friendly Family Atmosphere!!,None
04/01/2023,Great service and great food.,None
03/31/2023,Please do not get rid of that steak smash bacon burger. One of the best burgers I’ve ever had.,None
03/31/2023,The food was really good!,None
03/31/2023,Good food and fast service,None
03/31/2023,Delicious Monte Cristo sandwich. Slaw also very good.,None
03/31/2023,It's always a pleasure to visit Crosstown Grille.  The grilled chicken was excellent and Sidney did her usual great job.  Just wish there was more than one VIP day.,None
03/31/2023,Everything was great,None
03/30/2023,Brought family for a birthday celebration.  Had a great time and meal.,None
03/30/2023,Ruben was exceptional!  Roasted potatoes need to be cooked longer!,None
03/30/2023,The staff were absolutely amazing! They were on top of refilling our beverages and we were fully taken care of!,None
03/30/2023,"Our visit was on a Wednesday night and we ordered Bud Light draft beer during ""happy hour"" on VIP night. I was informed you were out. I ordered chicken wings and was informed you were out of ""hot sauce."" Witnessed another table order soup and they were told you were ""out of crackers."" We have made several visits to your restaurant and had family with us from out of town on this occasion and it made a very poor impression of your business. It appears the turnover of employees is beginning to affect the daily operation of the business and at this point it would be hard for me to recommend this establishment at this time.",None
03/29/2023,"Food was very good, service was exceptional. Only small disappointment was half price bud light was out for the night, during happy hour. The only draft beer available at HH.",None
03/29/2023,Wonderful meal and great service!,None
03/26/2023,Great food and service.  Alert:  They are charging a 2% fee for use of a credit card.  Really????,None
03/26/2023,Our server is always amazing!!,None
03/26/2023,We always enjoy sitting at the bar with Jess! She is awesome!,None
03/26/2023,We live in Senoia and visit McGuires. I met my golfing buddies for lunch at Crosstown (my first time at the restaurant) and then went back for dinner that night with my wife!,None
03/26/2023,Fish tacos were yummy and flavorful! Service was spot on.,None
03/26/2023,"Delicious food, super nice and helpful staff, fabulous atmosphere",None
03/25/2023,Our waitress went above and beyond the call of duty. She was very timely and very attentive.,None
03/25/2023,"Salmon delicious. 
Server not familiar with drinks.",None
03/25/2023,More brussel sprouts,None
03/24/2023,the attentiveness of the staff was great and the quality of the food for the price is great.,None
03/23/2023,Amazing food as always. Never disappoints,None
03/23/2023,Love this place!,None
03/23/2023,Friendly staff and good food??,None
03/22/2023,Good food and service.,None
03/22/2023,The server was absolutely amazing. The food was good. I wished the potatoes were warmer but overall everything was good.,None
03/20/2023,Our server was very good.,None
03/20/2023,"ruben app. was excellent, just did not like the fee for extra plate that was not made aware of",None
03/19/2023,"This seemed to be an off visit, service was slow and inattentive and my Rueben was very fatty.",None
03/19/2023,"Convenient, friendly, fine restaurant.",None
03/18/2023,The bar tender Jackie was excellent,None
03/18/2023,Excellent experience,None
03/18/2023,Food is delicious.. everyone is so friendly!,None
03/18/2023,I had a friend visit Peachtree City for the first time and I chose your restaurant to take him to first to impress him with our city. He was impressed and said it was the best fish and chips he ever had.,None
03/17/2023,Could improve the hostess station.  We waited too long to be seated with no one in site until I walked over to find someone.,None
03/17/2023,Ruben egg rolls and the service!,None
03/17/2023,"Last night we sat at the bar with friends, atmosphere was fun, food was good and the bartender knows our preferences and gets our drinks before we even ask. It’s a great place.",None
03/16/2023,Bar staff was great. Food was fantastic.,None
03/15/2023,My daughter had a very special birthday. I wish we had more time.,None
03/15/2023,As always everything was great,None
03/15/2023,"This visit was just for drinks, but we decided to try new item (zucchini fries).  Fries were ok and bar service great.",None
03/15/2023,"Food was good but a bit too greasy, which was the exception rather then the rule.  Great service staff.",None
03/15/2023,"Delicious, and perfectly seasoned. My service was excellent, and I have absolutely no complaints.",None
03/14/2023,Love the Smithwick's on draft and the bartender was great!,None
03/13/2023,The food is consistently delicious as was Sydney our server who is always friendly and excellent.,None
03/12/2023,Goose Island IPA and light beer were the only choices for HH and you were out of Goose Island. If out of something please substitute a different beer or give a bigger selection.,None
03/12/2023,The food and your staff are outstanding!!,None
03/12/2023,"We were looking forward to steak frites but they were no longer on the menu. I ordered a vodka soda and received a vodka with plain water.  Easy mistake but more attention to detail by staff would go a long way. We understand good help, or any help is hard to find. Groom the ones you do have.",None
03/12/2023,We were there for Sunday after church and were delighted with the quality of service and food. We will definitely be back!,None
03/12/2023,"We eat here often. The menu offers a good variety so whatever we are in the mood for, it's on the menu. Good beer selection, too.",None
03/11/2023,Kelly was awesome and every meal was excellent.,None
03/11/2023,Our waitress was the best! Food was delicious and we were in and out in no time!,None
03/11/2023,"We enjoy the bar staff, and really like VIP Thursday.",None
03/11/2023,Loved the experience!,None
03/10/2023,The quality of your meals are always the highest. No matter what we get a really good meal lots of tasty food. The prices are very reasonable,None
03/10/2023,Great service!,None
03/10/2023,Excellent service!! The fish and chips are amazing!!!,None
03/10/2023,Service @ food always excellent!,None
03/09/2023,"WOULD LIKE TO SEE THE PRETZEL RODS WITH MUSTARD DIP COME BACK.
  They were our favorite things. Was disappointed that you no longer have them. Would gladly pay for them as an appetizer!!",None
03/08/2023,Loved the brews and burgers!  We even picked up a couple of the pub t shirts!  Thanks!,None
03/06/2023,"We’ve always loved the atmosphere!  Maguire’s has been a family and friends favorite for years.  And of course, the food is excellent!  The only improvement I can think of is keep trying to bring back the pretzel rods!!",None
03/06/2023,McKenzie was a delightful server!,None
03/06/2023,Service was good and the food excellent. All in our group of 6 agree.,None
03/05/2023,Good experience!,None
03/05/2023,Bar tender was attentive and food was great,None
03/04/2023,Wifi,None
03/04/2023,"Great happy hour, just would like more beer on happy hour",None
03/04/2023,The service and food were all excellent.,None
03/04/2023,Sydney and trainee Skyler took very good care of us.  The food was delicious and atmosphere was welcoming. We will be back.,None
03/03/2023,"Fast, friendly service and good food.  Good place to socialize with friends.",None
03/02/2023,Any way to make the bottom of the reuben not soggy?  I tried the sauerkraut on the side but it was still soggy. Delicious but soggy??,None
03/01/2023,"The Monte Cristo and the restaurant atmosphere is so great. We love this place. We had an issue with the Toast system not working for drinks and while sitting at the high top in the bar area not being waited on during the meal. 

But, we love Maguires and are happy they are in Senoia!",None
03/01/2023,"the pub has been and still is our go to restaurant in the Senoia area. As I have stated before, we have never experienced a bad or unsatisfied visit to the pub. I take all of my out of town friends to dinner here and they all leave with a smile. We always look forward to our next visit.",None
02/28/2023,"Wife and I had the Sunday brunch for first time, 
Will repeat, mimosas we’ll prepared. 
Nothing to complain about, always our favorite pub. :)",None
02/28/2023,"Several of our golf group typically meet on Thursdays to enjoy the VIP beer specials.  A fun time, wish it were more often!",None
02/28/2023,"I hate that you removed the SW burger, but I enjoyed the avocado burger. I've also noticed, since my last visit, that the size of the fish and chips has been reduced, and the pretzels and mustard have been removed. The food was good, however. Also, we had to wait about 30 minutes to be seated, but not due to full tables. Instead, they said the kitchen was backed up. Obviously, you need more help.",None
02/27/2023,Wait staff was fantastic!  Men’s bathroom towel dispenser did not work.  I mentioned it to an employee and a fiend used the restroom 30 minutes after me and NO TOWELS!,None
02/26/2023,"Server overwhelmed with group of 20+ people .  The party members were late from original reservation.  We had to wait a long time to place order and get food.  We had a 2 year old grandchild with us.  Wifi DOESN’T work.  Not a pleasant meal cause we had to keep her busy for a long time.  

Please fix Wifi.  When the wait is long, Wifi helps to entertain children. Also have a single server do such a large group.  Lack of help is very evident.

The server was positive and as efficient as possible under difficult circumstances.  She did best as she could.  Kudos to her.",None
02/26/2023,I had the meat loaf and my wife ordered the fish fry. First time ordering both meals. Excellent food quality and presentation. Service was very friendly.,None
02/25/2023,Friendly and helpful staff.,None
02/25/2023,Everything was outstanding. I did taste the crabcakes and they need to have more fish in less bread please and thank you.,None
02/25/2023,Food and beer choices were great.  Bartender was friendly and attentive.,None
02/25/2023,Liked everything except the removal of your delicious mustard.  Any chance that it can be made available again?,None
02/24/2023,The staff was very helpful,None
02/24/2023,"Sydney was super attentive to our group, as always! The wings were especially good! I don’t think the hot sauce is hot enough but the hot-yaki blend has a nice kick to it. That’s my go to order lately. Keep up the great vibe and service. We’re regulars and intend to stay that way.",None
02/23/2023,"As per usual, I enjoyed the food. My out of town guests enjoyed their meals also. Our server was right there when ever we needed her. Told us all about the specials and about happy hour.",None
02/21/2023,My husband and I fell in love with the food here back in July ‘21 before moving to GA. We are so happy that we get to experience the fantastic environment and incredible food regularly now!,None
02/21/2023,"Charles was outstanding! Drinks were delicious 
Make sure food it hot when it is served",None
02/20/2023,"It was nice but nothing special today. And you didn’t have meatloaf either which was disappointing. But the Ruben rolls were excellent as usual thank goodness. 
Still wishing you would go back to having the brussel sprouts. 
Just an fyi - my friend said her husband refuses to go back again because last St Paddy’s Day Guinness bear wasn’t allowed on the “special”  not sure what she meant entirely but they used to go all the time & got discounted Guinness at certain times. But it wasn’t allowed on St Paddy’s Day. 
Anyway wait staff was very nice as usual too. 
Thanks",None
02/20/2023,"The adult grilled cheese was very good, very different. Enjoyed the Bacon and the Tomato was fresh!! Will definitely keep coming back.",None
02/19/2023,"Grest food, Great staff!",None
02/18/2023,We were with close friends and enjoyed so much the service that was provided,None
02/18/2023,The food was perfect and the staff was very friendly,None
02/17/2023,Bartender did a great job all night but there was only one bartender on a Friday night??,None
02/15/2023,Warm welcome and a safe space to visit with friends. Thank you!,None
02/15/2023,"Attentive staff, timely checks on my table and quality food. Maybe do special foods on holidays that your open.",None
02/15/2023,We had excellent service and our food was delicious as always! We would like to see the pretzels come back! The pretzels and mustard that used to be offered while you looked at your menu!  We definitely miss that!  Otherwise we love Crosstown and will continue to visit at least once a week!,None
02/15/2023,Excellent bartender(Niki and Jen). They make our stay here fun and pleasant. Keeps us coming back!,None
02/15/2023,Love the atmosphere and food.,None
02/14/2023,The food is great.  I had the fish and chips.  Would have liked to have had a little larger serving of coleslaw.  Aside from that I didn’t leave hungry.  ??,None
02/14/2023,"Friendly staff, great ambiance & delicious food. The salmon was cooked to perfection.",None
02/12/2023,Enjoy atmosphere the happy hour,None
02/12/2023,"My wife and I love the fish.  The fish with the tangy vinegar and the home-made tartar sauce still continues us my favorite.  Our son had a warp with Kettle Chips.  Nice crowd for a Friday and the Irish music playing in the background.  Restaurants come and go in Senioa, but Maguires continues to provide great meals.",None
02/11/2023,"We have moved to Georgia recently and this is our favorite restaurant. Staff all super friendly and food is excellent. 
Only improvement is don’t over cook the salmon.",None
02/11/2023,"Food is usually very good

The one thing that bothers me a lot is when they put french fried that are not hot on the plate with hot food
I dont even eat one of them",None
02/10/2023,always a pleasure when Jennifer is on the bar.,None
02/10/2023,We enjoyed our visit.  Food was great.  Service was terrific.  There were two large parties in party room but our food came pipping hot and except for the dessert taking a longer than usual because of the large group.  It did give us time to visit with our companions and when it did come out was also pipping hot!  The waitress was exceptional as she kept checking on us and was very pleasant.,None
02/08/2023,French onion soup was delicious.,None
02/08/2023,French onion soup was not hot. Service was excellent,None
02/06/2023,Jennifer was excellent. Great service and very pleasant. Jennifer made our dining experience exceptional,None
02/06/2023,Great attentive server.  Great happy hour options!,None
02/06/2023,"Friendly, clean, good food",None
02/06/2023,"Need to improve the side menu, very limited.",None
02/05/2023,Our dinner was served warm and it was tasty. Our server was friendly and knowledgable about any questions we had. Great experience. Great casual atmosphere.,None
02/05/2023,I love the music playing inside but it's not loud enough to hear. Just a little louder would be awesome.,None
02/05/2023,Place was super busy! Everyone was very attentive to all the customes,None
02/05/2023,"We can always count on friendly faces and great food, which is why we’re regulars!",None
02/05/2023,We enjoy coming here on Sundays. Great place.,None
02/05/2023,"The food was excellent, and the server was very professional.",None
02/04/2023,Cade was an exceptional server.,None
02/04/2023,As always a very pleasant atmosphere with friendly staff.,None
02/04/2023,Our server Kelly  was awesome.. the very best..,None
02/03/2023,the food was amazing.,None
02/03/2023,"Large portions, high quality.",None
02/03/2023,"Good food, good service.",None
02/03/2023,Great service and delicious food!!,None
02/02/2023,"It was either the cook or manager that came around twice to see if everything was to our liking. That was impressive.

We didn't care for the $.90 convenience charge and we assumed that was for using a credit card to pay the bill. The electronic payment system exposes user information to outside parties.",None
02/02/2023,Dinner ws excellent. Kayla was our server this evening and she was wonderful. She was polite and kind always had a smile on her face. Helped us make some great choices from the menu. We loved it!!,None
02/01/2023,"The corn beef and cabbage was not even good.  The other food was great.  Wife would have sent it back but she did not know how bad it was until we were leaving, she took a taste.",None
02/01/2023,"I've been to MaGuires in Senoia many many times over the years but today was the first time at CrossTowne Grill.  I brought my client in as he had never eaten there either. Anthony was our server. What a pleasant young man! Attentive and knowledgeable of the menu. 
My client ordered a salad with salmon.  We were both so impressed with the piece of fish and quality of his entree. I had the avocado burger. Heaven on earth! I'm a burger snob and didn't want it to end.  
The only ""complaint"" is the ice cream scoop size mashed potatoes I received that were cold.  I'll definitely be back!",None
01/31/2023,The waitress was very attentive.,None
01/31/2023,"We like the fast service along with a very clean atmosphere, coupled with very good food.",None
01/30/2023,Excellent service.Food wonderful as always.Our favorite place to eat in Senoia.,None
01/30/2023,Service and food exceptional.,None
01/30/2023,"Our server was great, but I wish she had said that ""happy hour"" starts in 20 minutes ( which would have saved us some $$.)",None
01/30/2023,The service was awesome and the food was delicious. Everyone was very welcoming and friendly. Keep up the good job!,None
01/29/2023,"The food was delicious as always.  Waiter was not easily found to order another drink.  The menu is very good, but could use a pasta entrée also.",None
01/29/2023,"Great service, great food and a wonderful server Savannah",None
01/28/2023,"Kelly was our server and was excellent, very patient with us (we had someone that hadn't ever been to the pub) and knowledgeable about the menu.

The Scotch eggs are consistently amazing, and this visit the fish and chips just hit the spot... hot, crispy, flaky fresh fish - yummy!!",None
01/28/2023,"Good wait time, friendly & efficient server, Steak cooked perfectly, all the food was excellent, saw awesome teamwork displayed by all staff!! Wonderful experience tonight!",None
01/28/2023,Good service & Good food,None
01/28/2023,Best mojito!,None
01/28/2023,"We did a call in order this time and food was ready when promised, still hot and delicious when I arrived back home! Great place!",None
01/27/2023,"It is great to have a wait staff back but also good to be able to pay the bill using the QR code.  
Thanks!",None
01/27/2023,"Food and service is always excellent.

Suggested improvement - discontinue ""convenience fee"" as customers have to pay their bill no matter what form of payment.  Not sure what is more or less convenient.",None
01/25/2023,Always feel welcomed by the staff!,None
01/23/2023,"Quick, friendly service. Delicious food!",None
01/23/2023,"This was our first time at Crosstown Grill; we have been to (and love!)the pub in Senoia. The wait staff was fantastic and friendly, and the food is delicious with perfect portion sizes. We were so happy with our experience, and will be back again soon! Thank you for a wonderful date-night experience!
Sarah and Jeff Binggeli",None
01/23/2023,"Although Senoia isn’t close to us, for nearly 15yrs it’s been worth the extra miles - even to introduce family & friends to the authentic, delicious food. Last few years, there’s been less of both of these: the giradelli cookies are not from scratch, fish size was reduced & almost brown crust not like usual golden. 
  Today, the chicken “pot pie” wasn’t a pie but a small, shallow dish with larger chunks of 3 potatoes & dry/old-tasting chicken, a few carrots, peas, 2-tbsp? of gravy and 2-pieces of pre-made dough strips across center the dish. It took about 30-40 minutes after our order. In the past, the food would have been worth the wait. The 2 servers tried to keep up with the lunch crowd but could have used help. The ambiance of an Irish restaurant ready to provide an authentic Irish dining experience has not been our experience at Maguire’s lately. The food used to remind me of Moms cooking or eating in Ireland. We understand prices going up, but not the lack of adherence to Irish cooking for which Maguires used to be known. Thank you.",None
01/23/2023,Loved the grilled salmon & 1/2 price wine nite!,None
01/23/2023,Friendly staff and the food is always great,None
01/23/2023,"I tried the Irish Grilled Cheese sandwich for the first time and found it to be quite tasty.  The wife had the cottage pie and she enjoyed that as well.

For suggested improvement, I'd like to have the pretzels & mustard dip - previously provided prior to the main meal being served - brought back to the dining experience.",None
01/22/2023,"Tasty, satisfying food, comfortable ambiance, and attentive service! Can’t think of anything I would change.",None
01/22/2023,Bacon bourbon  chicken and French onion soup. Oh and we love the new chicken tenders. Keep this brand on menu.,None
01/22/2023,Tried the Corned beef hash and eggs for Sunday Brunch and loved it.  My son had the Fish and chips also great and my wife had the Irish Grilled cheese that she loved.  Great beer selection we love Maguires!,None
01/22/2023,"Savannah is such a great server. Always enjoy seeing her.
Everyone is always friendly and the food is great!",None
01/22/2023,"Jesse is a great bartender!
Very friendly and personable!",None
01/22/2023,We went wine Wednesday which meant wine prices 1/2 off. On other days would like to see bigger pours on the wine.,None
01/22/2023,The server was very friendly and informative.  Great food and excellent drinks.  Wonderful place.,None
01/21/2023,Very friendly and attentive staff! Food was spot on and couldn't have been anymore delicious!! Left with the most satisfied overall 5 star rating!!,None
01/21/2023,Great service and great food,None
01/21/2023,"Had a hair in food, the staff was amazing! Replaced dish, apologies from a few folks as well, kudos to your Team",None
01/21/2023,We have a real comfort feeling at Maguires. Know the menu and have our favorites. Staff is attentive and nice.  Home town bar and grill to us.,None
01/21/2023,The service and food is no where near as good as it was a couple years ago.. Burger was ordered medium well and came out medium rare.. drinks unfilled for long periods of time.,None
01/21/2023,"Although the food is good, Sydney, our server for the last two visits was wonderful as usual. I ventured away from my two favorites, Reuben and Fish and Chips, and had Grilled Ground Beef with Onions and Mushrooms. Again, delicious.",None
01/20/2023,The staff is so friendly and food is outstanding.,None
01/20/2023,The atmosphere is very friendly and familiar…like being with family.,None
01/19/2023,We were quickly seated and our waitress stopped by quickly. Food and service was great. I do miss the pretzels on the table pre-Covid.,None
01/19/2023,Another great take-out order.  The best fish & chip dinner in town.,None
01/19/2023,Our waitress was very professional and friendly.  Hope to have her for every visit.,None
01/19/2023,All is good!,None
01/19/2023,There entire staff was great. Jess did an awesome job making sure all was good with all the guests. Jean was super helpful in helping me organize everything.,None
01/19/2023,"Courtney was our server and was excellent, friendly, and attentive.  Our meals were delicious and hot as always.",None
01/19/2023,"We’ve been many times, enjoy the atmosphere and food, I think our server was preoccupied a bit, we will be back non the less",None
01/18/2023,Good portions food was delicious as always!  Server was friendly and attentive!  Great experience every visit!,None
01/18/2023,We loved sitting at the bar. Niki was great!,None
01/18/2023,We always enjoy eating at Maguires,None
01/17/2023,The staff was prompt and attentive and the food came out in a timely manner and was hot and delicious.,None
01/16/2023,Awesome food and service!!,None
01/16/2023,"Loved happy hour but wanted to order more. Couldn’t get anyone’s attention to and eventually times out (turned 6:00). This was our first visit for happy hour; lesson learned to order earlier. Waitress was great, we just needed a little more attention to allow us to spend more money??. My birthday is St. Patrick’s Day, so we’ll see you then if not before. Cheers!",None
01/15/2023,"Good service, good food, good times !! One of my favorite places in PTC…",None
01/15/2023,You were busy and so we sat at the bar and had dinner.  The young lady at the bar was very helpful and courteous.,None
01/15/2023,great service and friendly staff,None
01/15/2023,I have never had a bad experience at Maguire’s in all my time coming. The food is always amazing and the staff is always so friendly and helpful.,None
01/14/2023,"I fid not know you had to open a different scan code for rewards, so even though I presented my $5 off and double points to the staff before I ordered, when they scan my normal code, it was not applied.  You app should be more user friendly.",None
01/14/2023,"The food was very good, the atmosphere was comfortable and the servers and staff are professional and friendly.",None
01/14/2023,Our bartender Kirstie is always friendly and nice and also good at her job. We enjoy coming in.,None
01/13/2023,Good service great food,None
01/13/2023,My burger was perfectly cooked!  Service was terrific.  Our server was patient kind and efficient.,None
01/13/2023,Our bartender/server was really great. Food came out at a good time and trivia night was going on. All around good visit.,None
01/13/2023,Great service at our table by Alex.  The food was great and the attention to our group was great. Very professional and efficient.,None
01/12/2023,"Despite clear personnel shortage (like everywhere), our server was friendly and efficient as possible.  We'll be back!",None
01/12/2023,"Service was excellent.  Food was great.  Very friendly,  courteous waiter/waitresses.",None
01/12/2023,Food tasted great! All 3 of us loved the food and both of them were first-timers to Crosstown Grill. They both said they would be back this week again!,None
01/12/2023,You always overcook the salmon. I asked for it medium rare and it still was dry.,None
01/11/2023,"Excellent service, great food and reasonable prices!",None
01/10/2023,Really enjoyed the family atmosphere. The bar tender was attentive and very sweet!,None
01/10/2023,Both the food and service were just ok.,None
01/09/2023,The drink glasses were dirty with lipstick residue. We had to request to go cups.  The food was well cooked however one of our entree plates had a hair. So the overall impression was disappointing.,None
01/09/2023,"On a Friday night just as the place got packed, our server was able to service us and make the discount work also. Desert was a little slow; however, not significantly.",None
01/08/2023,"The staff is amazing. My bartender Jennifer is knowledge and such an amazing person.
Improvements you're pricing structure. 15$ for 8 wings( good BTW) but an upcharge from celery and dressing?
3$ each for small barely there Irish egg rolls.
Lastly 22$ for corned beef and cabbage? Seriously?",None
01/08/2023,Waitress was great and food was good.  The restaurant has been out of broccoli the last few times I've been there so hopefully it'll be available next time.,None
01/08/2023,"Our server, Kelly, was fantastic.  In spite of the Maguires being short-staffed, she was perfect with getting our food out on time, hot, and all orders correct (party of 5).  My only point for room for improvement is the ""happy hour"" offerings.  Only 1 beer and 1 ale, Bud Light, and some blueberry thing, and the bud light was out.  So no real beer deal.  And only 2 starters discounted, could have offered 3 or 4.  Otherwise, everything was wonderful!",None
01/07/2023,Very consistent quality! Always our go to place to eat.,None
01/07/2023,Guinness always served correctly.,None
01/07/2023,Bartendress was awesome. Very efficient and quick.,None
01/07/2023,Great lunch fish and chips.  Service and food quality superb!,None
01/06/2023,Our waitress Kelly was awesome,None
01/06/2023,"Nothing to improve.  Our Server was wonderful and a very happy woman.  Made our visit extra specially nice because we were celebrating my nephew's birthday in heaven.  All was well. 
Thank You,
Michele",None
01/05/2023,The food was delicious as always!,None
01/04/2023,Always great service and great food.  My favorite Salmon Salad.,None
01/04/2023,The manager was excellent and certainly a positive reflection of the restaurant.,None
01/04/2023,Last visit we had your pretzel appetizer. It came out cold. It did come out quick so I don’t think it sat for awhile. Just not warmed up enough.,None
01/04/2023,We ordered the pretzels with mustard and they were great. Our beer was ice cold too.,None
01/04/2023,"This was our first time and we will definitely be back. Our server, Sydney, was just lovely, and took GREAT care of us! The food was delicious and the atmosphere made me feel like I was in Ireland. Thank you!",None
01/04/2023,"Staff is always attentive and friendly.  Food quality is great as well but there has been a hair in someone's dish within my party. First time want a big deal, but  concern is growing since it happened a second time.",None
01/03/2023,"Excellent food & good, friendly service.",None
01/03/2023,It’s always consistent. Change up the menu.,None
01/02/2023,The beer selection isn’t good at all.  Need to improve that.  Salads are also really expensive when adding chicken.,None
01/02/2023,As always the service was great.  We sat at the bar and the bartender was on point.  Food is always great and it was tonight as well.,None
01/01/2023,I didn't rate the food because my friends and I just had a few beers.  One thing that would help in the bar area is to add another table that will hold 8 or 10 people.,None
01/01/2023,"The staff at McGuires is excellent, however the food is always hit or miss.  I would like to see some new items places on the menu and maybe a senior or military discount implemented.",None
12/31/2022,"Our server Brooke helped tremendously with the rewards program.  She was an excellent server, continuously checked if we needed anything.",None
12/30/2022,"Had party of 9, service by Sydney was outstanding, as we didn’t all arrive at the same time.",None
12/30/2022,The food was excellent and Kirsty our server was outstanding.,None
12/30/2022,Service was excellent.,None
12/29/2022,Love the ambiance of the restaurant and the food we had,None
12/29/2022,Love the people,None
12/28/2022,Charles’ service excellent.  Food taste good but not hot.  Really nice dining experience sitting at bar.,None
12/28/2022,"Good atmosphere, good food, good service, good beer.  What else is there to say?",None
